county_name,county_population
ALAMEDA,1037336
ALPINE,1139
AMADOR,42944
BUTTE,209590
CALAVERAS,47752
COLUSA,22458
CONTRA COSTA,1170307
DEL NORTE,26692
EL DORADO,195712
FRESNO,674282
GLENN,20265
HUMBOLDT,135427
IMPERIAL,179845
INYO,18678
KERN,596286
KINGS,155138
LAKE,68887
LASSEN,28256
LOS ANGELES,6484366
MADERA,167805
MARIN,154633
MARIPOSA,17130
MENDOCINO,89823
MERCED,300226
MODOC,8580
MONO,13227
MONTEREY,435264
NAPA,133999
NEVADA,103643
NOT SPECIFIED,0
ORANGE,2980501
PLACER,436675
PLUMAS,0
RIVERSIDE,1140491
SACRAMENTO,1609578
SAN BENITO,70581
SAN BERNARDINO,577722
SAN DIEGO,3315236
SAN FRANCISCO,0
SAN JOAQUIN,821153
SAN LUIS OBISPO,236248
SAN MATEO,726497
SANTA BARBARA,238421
SANTA CLARA,1670520
SANTA CRUZ,262951
SHASTA,182783
SIERRA,3245
SISKIYOU,40703
SOLANO,455427
SONOMA,487566
STANISLAUS,374117
SUTTER,99046
TEHAMA,65698
TRINITY,15788
TULARE,489252
TUOLUMNE,54703
VENTURA,838619
YOLO,183196
YUBA,88446
